time=    0, Simulation Start
time=    0, Starting Reset
time=   64, Reset Completed
time=   64, Starting Test
time=   64, Starting Semi Random Test
Time=992 Error dut: Q=0101, rco=0, scoreboard: Q=1001, rco=0
Time=1000 Error dut: Q=0111, rco=0, scoreboard: Q=1000, rco=0
Time=1008 Error dut: Q=0011, rco=0, scoreboard: Q=0101, rco=0
Time=1016 Error dut: Q=1111, rco=1, scoreboard: Q=0010, rco=0
Time=1024 Error dut: Q=1110, rco=1, scoreboard: Q=1111, rco=1
Time=1032 Error dut: Q=1110, rco=1, scoreboard: Q=1100, rco=0
Time=1040 Error dut: Q=1110, rco=1, scoreboard: Q=1001, rco=0
Time=1048 Error dut: Q=1000, rco=1, scoreboard: Q=0110, rco=0
Time=1056 Error dut: Q=1000, rco=0, scoreboard: Q=0011, rco=0
Time=1064 Error dut: Q=1001, rco=0, scoreboard: Q=0000, rco=0
Time=1072 Error dut: Q=1111, rco=0, scoreboard: Q=1101, rco=1
Time=1080 Error dut: Q=1111, rco=0, scoreboard: Q=1010, rco=0
Time=1088 Error dut: Q=1111, rco=0, scoreboard: Q=0111, rco=0
Time=1096 Error dut: Q=1011, rco=0, scoreboard: Q=0100, rco=0
Time=1104 Error dut: Q=1001, rco=0, scoreboard: Q=0001, rco=0
Time=1112 Error dut: Q=0100, rco=0, scoreboard: Q=1110, rco=1
Time=1120 Error dut: Q=0100, rco=0, scoreboard: Q=1011, rco=0
Time=1128 Error dut: Q=0100, rco=0, scoreboard: Q=1000, rco=0
Time=1136 Error dut: Q=1000, rco=0, scoreboard: Q=0101, rco=0
Time=1144 Error dut: Q=1100, rco=0, scoreboard: Q=0010, rco=0
Time=1152 Error dut: Q=0111, rco=0, scoreboard: Q=1111, rco=1
Time=1160 Error dut: Q=0111, rco=0, scoreboard: Q=1100, rco=0
Time=1168 Error dut: Q=0001, rco=0, scoreboard: Q=1001, rco=0
Time=1176 Error dut: Q=1001, rco=0, scoreboard: Q=0110, rco=0
Time=1184 Error dut: Q=1001, rco=0, scoreboard: Q=0011, rco=0
Time=1192 Error dut: Q=0001, rco=0, scoreboard: Q=0000, rco=0
Time=1200 Error dut: Q=0000, rco=0, scoreboard: Q=1101, rco=1
Time=1208 Error dut: Q=0000, rco=0, scoreboard: Q=1010, rco=0
Time=1216 Error dut: Q=1010, rco=0, scoreboard: Q=0111, rco=0
Time=1224 Error dut: Q=1110, rco=0, scoreboard: Q=0100, rco=0
Time=1232 Error dut: Q=0110, rco=0, scoreboard: Q=0001, rco=0
Time=1240 Error dut: Q=0011, rco=0, scoreboard: Q=1110, rco=1
PASS
Time=1256 Error dut: Q=1101, rco=1, scoreboard: Q=1111, rco=1
Time=1264 Error dut: Q=0101, rco=0, scoreboard: Q=0000, rco=1
Time=1272 Error dut: Q=0101, rco=0, scoreboard: Q=0001, rco=0
Time=1280 Error dut: Q=0100, rco=1, scoreboard: Q=0010, rco=0
Time=1288 Error dut: Q=1000, rco=1, scoreboard: Q=0011, rco=0
Time=1296 Error dut: Q=1001, rco=0, scoreboard: Q=0100, rco=0
Time=1304 Error dut: Q=1111, rco=0, scoreboard: Q=0101, rco=0
Time=1312 Error dut: Q=1110, rco=0, scoreboard: Q=0110, rco=0
Time=1320 Error dut: Q=1111, rco=0, scoreboard: Q=0110, rco=0
Time=1328 Error dut: Q=0111, rco=0, scoreboard: Q=0110, rco=0
Time=1336 Error dut: Q=0100, rco=0, scoreboard: Q=0110, rco=0
Time=1344 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=1352 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=1360 Error dut: Q=0000, rco=0, scoreboard: Q=0110, rco=0
Time=1368 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=1376 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=1384 Error dut: Q=0000, rco=0, scoreboard: Q=0110, rco=0
Time=1392 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=1400 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=1408 Error dut: Q=0000, rco=0, scoreboard: Q=0111, rco=0
Time=1416 Error dut: Q=0001, rco=0, scoreboard: Q=1000, rco=0
time= 1608, Test Completed
time= 1608, Simulation Completed
